,Census Tract Info,state,county,tract,tract_GEOID,tract_GEOID_num,Total Population,Employment Status for the Population 16 Years and Over,Median household income in the past 12 months (in 2022 inflation-adjusted dollars),Units in Structure - Total,"Units in Structure - Total, 1 (detached)","Units in Structure - Total, 1 (attached)","Units in Structure - Total, 2","Units in Structure - Total, 3 or 4","Units in Structure - Total, 5 to 9","Units in Structure - Total, 10 to 19","Units in Structure - Total, 20 to 49","Units in Structure - Total, 50 or more","Units in Structure - Total, Mobile Home","Units in Structure - Total, Boat, RV, van, etc.",Owner-occupied housing units with no vehicle available,Owner-occupied housing units with 1 vehicle available,Owner-occupied housing units with 2 vehicles available,Owner-occupied housing units with 3 or more vehicles available,Renter-occupied housing units with no vehicle available,Renter-occupied housing units with 1 vehicle available,Renter-occupied housing units with 2 vehicles available,Renter-occupied housing units with 3 or more vehicles available,perc_single_unit_dwellings,perc_multi_unit_dwellings,perc_other_unit_dwellings,Race - Total,Race - White Alone,Race - Black or African American alone,Race - American Indian and Alaska Native alone,Race - Asian alone,Race - Native Hawaiian and Other Pacific Islander alone,Race - Some Other Race alone,Race - Two or More Races,Majority Race,Identified as disadvantaged without considering neighbors,Identified as disadvantaged based on neighbors and relaxed low income threshold only,Identified as disadvantaged due to tribal overlap,Identified as disadvantaged,num_private_charger,num_public_charger,Total Vehicle Count,geometry,potential_home_chargers_per_veh,exist_home_chargers_per_veh
0,Census Tract 4001; Alameda County; California,6,1,400100,6001400100,6001400100,3269.0,2648.0,234236.0,1496.0,1100.0,360.0,0.0,0.0,8.0,0.0,0.0,0.0,28.0,0.0,1250.0,95.0,385.0,569.0,174.0,9.0,18.0,127.0,97.59358288770052,0.53475935828877,1.8716577540106951,3269.0,2385.0,171.0,0.0,477.0,0.0,25.0,211.0,Race - White Alone,False,False,,False,0.0,1.0,2998.0,"POLYGON ((-122.24691 37.885355, -122.241971 37.881927, -122.238679 37.883325, -122.22884 37.881023, -122.225876 37.87962, -122.22362 37.878566, -122.221414 37.87564, -122.219804 37.873495, -122.21764 37.87225, -122.216372 37.869075, -122.217784 37.868356, -122.219791 37.867332, -122.221418 37.865468, -122.219826 37.864771, -122.212923 37.857784, -122.212889 37.857607, -122.21238 37.857234, -122.213615 37.855987, -122.215561 37.856181, -122.21654 37.856019, -122.216815 37.856638, -122.217893 37.856628, -122.21784 37.85726, -122.219349 37.857728, -122.219371 37.859413, -122.22108 37.860114, -122.221407 37.859064, -122.222103 37.858796, -122.222621 37.857711, -122.221609 37.855291, -122.223288 37.855086, -122.22354 37.854923, -122.22424 37.850933, -122.226748 37.849962, -122.233092 37.851656, -122.234191 37.852544, -122.234305 37.853607, -122.234761 37.85779, -122.241614 37.857066, -122.242347 37.85761, -122.244505 37.859129, -122.244065 37.860776, -122.244235 37.861066, -122.244274 37.861427, -122.244166 37.861497, -122.245525 37.864036, -122.244733 37.865788, -122.245338 37.865986, -122.244877 37.866276, -122.245156 37.869737, -122.246439 37.881203, -122.246827 37.884073, -122.24691 37.885355))",0.48978609625668446,0.32344919786096255
1,Census Tract 4002; Alameda County; California,6,1,400200,6001400200,6001400200,2147.0,1836.0,225500.0,913.0,579.0,17.0,23.0,73.0,105.0,104.0,9.0,3.0,0.0,0.0,490.0,7.0,208.0,207.0,52.0,16.0,0.0,386.0,65.27929901423877,34.720700985761226,0.0,2147.0,1535.0,38.0,9.0,251.0,0.0,25.0,289.0,Race - White Alone,False,False,,False,0.0,0.0,2218.0,"POLYGON ((-122.257418 37.843096, -122.256205 37.844686, -122.255084 37.846069, -122.25235 37.849428, -122.252503 37.850826, -122.25096 37.851159, -122.244781 37.851733, -122.243991 37.851777, -122.241914 37.851909, -122.242427 37.850833, -122.244044 37.850257, -122.243323 37.849072, -122.243716 37.848513, -122.247313 37.846563, -122.251857 37.844746, -122.254366 37.843773, -122.257923 37.842606, -122.257418 37.843096))",0.4444468784227821,0.30569550930996714
2,Census Tract 4003; Alameda County; California,6,1,400300,6001400300,6001400300,5619.0,4826.0,164000.0,2851.0,1224.0,64.0,230.0,421.0,278.0,55.0,237.0,342.0,0.0,0.0,947.0,36.0,434.0,411.0,47.0,19.0,0.0,1691.0,45.177130831287265,54.82286916871273,0.0,5619.0,3403.0,529.0,26.0,635.0,0.0,424.0,602.0,Race - White Alone,False,False,,False,0.0,1.0,7229.0,"POLYGON ((-122.26534 37.838461, -122.264589 37.839565, -122.264383 37.839774, -122.263141 37.840743, -122.26186 37.841353, -122.257923 37.842606, -122.254366 37.843773, -122.251857 37.844746, -122.247313 37.846563, -122.243716 37.848513, -122.244188 37.847913, -122.245396 37.845798, -122.24813 37.841392, -122.25081 37.837135, -122.25241 37.834543, -122.252852 37.834865, -122.256509 37.836335, -122.25764 37.836637, -122.259516 37.836935, -122.262361 37.837314, -122.264169 37.83787, -122.265631 37.837636, -122.26534 37.838461))",0.4122834093300596,0.2916239915819011
3,Census Tract 4004; Alameda County; California,6,1,400400,6001400400,6001400400,4278.0,3364.0,158836.0,1975.0,935.0,130.0,270.0,335.0,188.0,48.0,69.0,0.0,0.0,0.0,873.0,50.0,453.0,322.0,27.0,13.0,8.0,887.0,53.92405063291139,46.07594936708861,0.0,4278.0,2832.0,525.0,23.0,373.0,0.0,77.0,448.0,Race - White Alone,False,False,,False,0.0,0.0,4612.0,"POLYGON ((-122.261805 37.84179, -122.261296 37.845027, -122.261019 37.847233, -122.260223 37.852793, -122.258367 37.853196, -122.257251 37.853176, -122.256197 37.853449, -122.253346 37.85383, -122.25331 37.853466, -122.252503 37.850826, -122.25235 37.849428, -122.255084 37.846069, -122.256205 37.844686, -122.257418 37.843096, -122.257923 37.842606, -122.26186 37.841353, -122.261805 37.84179))",0.42627848101265825,0.297746835443038
4,Census Tract 4005; Alameda County; California,6,1,400500,6001400500,6001400500,3949.0,3470.0,95078.0,1820.0,821.0,135.0,198.0,230.0,185.0,207.0,36.0,8.0,0.0,0.0,801.0,0.0,300.0,397.0,100.0,0.0,4.0,878.0,52.52747252747253,47.47252747252747,0.0,3949.0,1778.0,1000.0,4.0,376.0,6.0,298.0,487.0,Race - White Alone,False,False,,False,0.0,0.0,4433.0,"POLYGON ((-122.269409 37.848107, -122.268965 37.851616, -122.266128 37.852009, -122.26225 37.852696, -122.261829 37.85258, -122.260223 37.852793, -122.261019 37.847233, -122.261296 37.845027, -122.265041 37.844541, -122.26514 37.84453, -122.26807 37.844136, -122.268183 37.844585, -122.268763 37.847261, -122.269226 37.847201, -122.269409 37.848107))",0.37454945054945055,0.25676923076923075
5,Census Tract 4006; Alameda County; California,6,1,400600,6001400600,6001400600,2058.0,1768.0,155893.0,817.0,345.0,115.0,85.0,203.0,17.0,23.0,21.0,0.0,8.0,0.0,310.0,5.0,85.0,131.0,89.0,0.0,0.0,458.0,56.303549571603426,42.71725826193391,0.9791921664626682,2058.0,939.0,539.0,21.0,131.0,14.0,84.0,330.0,Race - White Alone,False,False,,False,0.0,0.0,1942.0,"POLYGON ((-122.26807 37.844136, -122.26514 37.84453, -122.265041 37.844541, -122.261296 37.845027, -122.261805 37.84179, -122.26186 37.841353, -122.263141 37.840743, -122.264383 37.839774, -122.264589 37.839565, -122.26534 37.838461, -122.265631 37.837636, -122.266653 37.837482, -122.267257 37.840152, -122.267562 37.841672, -122.26807 37.844136))",0.4267564259485924,0.2968665850673195
6,Census Tract 4007; Alameda County; California,6,1,400700,6001400700,6001400700,4758.0,4004.0,110556.0,2193.0,873.0,144.0,387.0,515.0,121.0,36.0,66.0,51.0,0.0,0.0,747.0,49.0,306.0,352.0,16.0,24.0,0.0,1265.0,46.37482900136799,53.62517099863201,0.0,4758.0,2420.0,1112.0,118.0,398.0,0.0,113.0,597.0,Race - White Alone,False,False,,False,0.0,0.0,5536.0,"POLYGON ((-122.277766 37.847525, -122.27746 37.847564, -122.276188 37.847734, -122.276173 37.847662, -122.2758 37.845867, -122.271236 37.846465, -122.269144 37.84674, -122.269226 37.847201, -122.268763 37.847261, -122.268183 37.844585, -122.26807 37.844136, -122.267562 37.841672, -122.267257 37.840152, -122.266653 37.837482, -122.274641 37.836408, -122.275638 37.836447, -122.27622 37.836818, -122.275718 37.83816, -122.276311 37.839266, -122.27658 37.840676, -122.277026 37.843394, -122.27701 37.84359, -122.277186 37.844823, -122.277548 37.847038, -122.277766 37.847525))",0.41419972640218883,0.2924623803009576
7,Census Tract 4008; Alameda County; California,6,1,400800,6001400800,6001400800,4335.0,3832.0,97132.0,1988.0,622.0,185.0,330.0,433.0,144.0,121.0,145.0,8.0,0.0,0.0,661.0,5.0,330.0,298.0,28.0,0.0,0.0,1224.0,40.59356136820926,59.40643863179075,0.0,4335.0,2241.0,664.0,59.0,695.0,9.0,246.0,421.0,Race - White Alone,False,False,,False,0.0,0.0,5231.0,"POLYGON ((-122.288739 37.849991, -122.286247 37.850505, -122.286006 37.850173, -122.283459 37.850307, -122.282705 37.849036, -122.281899 37.846975, -122.278944 37.847367, -122.277841 37.847515, -122.277766 37.847525, -122.277548 37.847038, -122.277186 37.844823, -122.27701 37.84359, -122.277026 37.843394, -122.283135 37.84082, -122.285576 37.839778, -122.286714 37.843345, -122.287499 37.845772, -122.287866 37.846907, -122.288739 37.849991))",0.3530684104627767,0.2484154929577465
8,Census Tract 4009; Alameda County; California,6,1,400900,6001400900,6001400900,2844.0,2404.0,114583.0,1274.0,475.0,75.0,364.0,209.0,10.0,44.0,73.0,24.0,0.0,0.0,402.0,9.0,225.0,110.0,25.0,33.0,0.0,711.0,43.17111459968603,56.828885400313965,0.0,2844.0,1104.0,710.0,46.0,174.0,0.0,395.0,415.0,Race - White Alone,False,False,,False,0.0,0.0,2955.0,"POLYGON ((-122.285576 37.839778, -122.283135 37.84082, -122.277026 37.843394, -122.27658 37.840676, -122.276311 37.839266, -122.275718 37.83816, -122.27622 37.836818, -122.281649 37.836692, -122.281963 37.837181, -122.284491 37.836715, -122.285576 37.839778))",0.4090737833594976,0.29021978021978023
9,Census Tract 4010; Alameda County; California,6,1,401000,6001401000,6001401000,6277.0,5297.0,153654.0,2674.0,1333.0,62.0,400.0,459.0,184.0,74.0,114.0,48.0,0.0,0.0,941.0,22.0,301.0,454.0,133.0,31.0,0.0,1361.0,52.169035153328345,47.830964846671655,0.0,6277.0,2436.0,1478.0,72.0,464.0,42.0,781.0,1004.0,Race - White Alone,False,False,,False,0.0,0.0,6100.0,"POLYGON ((-122.278707 37.827151, -122.277923 37.827108, -122.278343 37.828522, -122.277556 37.831276, -122.277204 37.832216, -122.27641 37.834279, -122.275896 37.835661, -122.275638 37.836447, -122.274641 37.836408, -122.266653 37.837482, -122.265631 37.837636, -122.266494 37.833405, -122.266895 37.831339, -122.267828 37.827044, -122.268563 37.824462, -122.278611 37.826878, -122.278707 37.827151))",0.42347045624532537,0.29651832460732985
